IBI,HR,NO2,Noise,NH3,PM10,CO,PM25,Label,PM1,EDA,BVP
0,0.895786692,0.176881746,0.895436017,0.30362274,0.565562914,0.98230303,0.565562914,5,0.565562914,0,0
0,0.905161127,0.176881746,0.898024739,0.306339102,0.596467991,0.980606061,0.596467991,5,0.596467991,0,0
0,0.912018342,0.176881746,0.900613461,0.309055464,0.627373068,0.978909091,0.627373068,5,0.627373068,0,0
0,0.918887657,0.176881746,0.903202182,0.311771826,0.658278146,0.977212121,0.658278146,5,0.658278146,0,0
0,0.925186338,0.176881746,0.905790904,0.314488188,0.689183223,0.975515152,0.689183223,5,0.689183223,0,0
0,0.932187912,0.176881746,0.908379626,0.317204549,0.7200883,0.973818182,0.7200883,5,0.7200883,0,0
0,0.939538362,0.176881746,0.910968347,0.319920911,0.750993377,0.972121212,0.750993377,5,0.750993377,0,0
0,0.945911625,0.176881746,0.913557069,0.322637273,0.781898455,0.970424242,0.781898455,5,0.781898455,0,0
0,0.953754315,0.176881746,0.916145791,0.325353635,0.812803532,0.968727273,0.812803532,5,0.812803532,0,0
0,0.960276079,0.176881746,0.918734513,0.328069997,0.843708609,0.967030303,0.843708609,5,0.843708609,0,0
0,0.965589617,0.176881746,0.921323234,0.330786359,0.874613687,0.965333333,0.874613687,5,0.874613687,0,0
0,0.96987807,0.176881746,0.923911956,0.333502721,0.905518764,0.963636364,0.905518764,5,0.905518764,0,0
0,0.973813669,0.176881746,0.926500678,0.336219083,0.936423841,0.961939394,0.936423841,5,0.936423841,0,0
0,0.975361655,0.176881746,0.929089399,0.338935445,0.967328918,0.960242424,0.967328918,5,0.967328918,0,0
0,0.976387569,0.176881746,0.931678121,0.341651807,0.998233996,0.958545455,0.998233996,5,0.998233996,0,0
0,0.977078363,0.177452332,0.93427669,0.343555108,1,0.956848485,1,5,1,0,0
0,0.978865674,0.179782226,0.936905622,0.342951472,0.962913907,0.955151515,0.962913907,5,0.962913907,0,0
0,0.980583044,0.18211212,0.939534555,0.342347836,0.925827815,0.953454545,0.925827815,5,0.925827815,0,0
0,0.981723317,0.184442014,0.942163487,0.3417442,0.888741722,0.951757576,0.888741722,5,0.888741722,0,0
0,0.982582333,0.186771908,0.94479242,0.341140564,0.851655629,0.950060606,0.851655629,5,0.851655629,0,0
0,0.985237114,0.189101802,0.947421352,0.340536928,0.814569536,0.948363636,0.814569536,5,0.814569536,0,0
0,0.987981724,0.191431696,0.950050284,0.339933292,0.777483444,0.946666667,0.777483444,5,0.777483444,0,0
0,0.9904827,0.19376159,0.952679217,0.339329656,0.740397351,0.944969697,0.740397351,5,0.740397351,0,0
0,0.993609832,0.196091484,0.955308149,0.33872602,0.703311258,0.943272727,0.703311258,5,0.703311258,0,0
0,0.996560619,0.198421378,0.957937082,0.338122384,0.666225166,0.941575758,0.666225166,5,0.666225166,0,0
0,0.998105954,0.200751272,0.960566014,0.337518748,0.629139073,0.939878788,0.629139073,5,0.629139073,0,0
0,1,0.203081166,0.963194946,0.336915112,0.59205298,0.938181818,0.59205298,5,0.59205298,0,0
0,0.997912538,0.20541106,0.965823879,0.336311476,0.554966887,0.936484848,0.554966887,5,0.554966887,0,0
0,0.995165608,0.207740954,0.968452811,0.33570784,0.517880795,0.934787879,0.517880795,4,0.517880795,0,0
0,0.992167751,0.210070848,0.971081744,0.335104204,0.480794702,0.933090909,0.480794702,4,0.480794702,0,0
0,0.988759861,0.212400742,0.973710676,0.334500568,0.443708609,0.931393939,0.443708609,4,0.443708609,0,0
0,0.985436661,0.214730636,0.976339608,0.333896932,0.406622517,0.92969697,0.406622517,4,0.406622517,0,0
0,0.98231848,0.21706053,0.978968541,0.333293296,0.369536424,0.928,0.369536424,4,0.369536424,0,0
0,0.979240737,0.219390424,0.981597473,0.33268966,0.332450331,0.92630303,0.332450331,4,0.332450331,0,0
0,0.97665623,0.221720318,0.984226406,0.332086024,0.295364238,0.924606061,0.295364238,4,0.295364238,0,0
0,0.974522527,0.224050212,0.986855338,0.331482388,0.258278146,0.922909091,0.258278146,4,0.258278146,0,0
0,0.972962939,0.226380106,0.98948427,0.330878752,0.221192053,0.921212121,0.221192053,4,0.221192053,0,0
0,0.971690574,0.22871,0.992113203,0.330275116,0.18410596,0.919515152,0.18410596,4,0.18410596,0,0
0,0.970295728,0.231039893,0.994742135,0.32967148,0.147019868,0.917818182,0.147019868,4,0.147019868,0,0
0,0.969186614,0.233369787,0.997371068,0.329067844,0.109933775,0.916121212,0.109933775,4,0.109933775,0,0
0,0.967833866,0.235699681,1,0.328464208,0.078852097,0.915151515,0.078852097,3,0.078852097,0,0
0,0.965907833,0.235842328,0.995286027,0.330410626,0.083796909,0.918545455,0.083796909,3,0.083796909,0,0
0,0.963692919,0.235842328,0.99009317,0.332523352,0.088741722,0.921939394,0.088741722,3,0.088741722,0,0
0,0.960784229,0.235842328,0.984900312,0.334636078,0.093686534,0.925333333,0.093686534,3,0.093686534,0,0
0,0.958194749,0.235842328,0.979707455,0.336748804,0.098631347,0.928727273,0.098631347,3,0.098631347,0,0
